lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
5,6,2024-07-19,2024-07-19_06,9,40.00953333333334,1.0179103226709105,38.697,42.0489,0.6119666666666667,0.055038963471344564,40.6215,1.001088888888889,0.3891222222222222,3.3519000000000005,4.18887665106483,2.5441694462925764,65.37861539299527,10,89 & 9 points,1,Si,Si_1x
5,7,2024-07-19,2024-07-19_07,9,39.89673333333334,1.0095548796375577,38.6044,41.9306,0.6097,0.0546318588371291,40.506433333333334,1.0009555555555556,0.3912555555555556,3.3262,4.168511707725444,2.5304198998018825,65.43666283964792,10,89 & 9 points,1,Si,Si_1x
5,8,2024-07-19,2024-07-19_08,9,39.853788888888886,1.0127678898005732,38.5637,41.8895,0.6079777777777777,0.0537356208156605,40.46176666666667,1.0069555555555556,0.39897777777777776,3.325800000000001,4.172501652568376,2.5412085476343,65.5513907672064,10,89 & 9 points,1,Si,Si_1x
5,9,2024-07-19,2024-07-19_09,9,39.914522222222224,1.0180940830514842,38.6214,41.9473,0.6075,0.053836442118698744,40.52202222222222,1.0062777777777778,0.3987777777777778,3.325899999999997,4.166278104850166,2.5506858816530316,65.70291723822588,10,89 & 9 points,1,Si,Si_1x
5,10,2024-07-19,2024-07-19_10,9,39.70741111111111,1.0146815626644206,38.4154,41.7324,0.6038888888888888,0.05369351554062287,40.311299999999996,1.0067555555555556,0.40286666666666665,3.317,4.176802147486042,2.5553959179687937,65.75284268629255,10,89 & 9 points,1,Si,Si_1x
6,1,2024-08-01,2024-08-01_01,9,40.30677777777778,1.0078334594289087,38.9939,42.3241,0.6324222222222222,0.05549287742084066,40.9392,1.0067444444444444,0.3743222222222222,3.330200000000005,4.1310670110623855,2.500406916636622,63.73396816472821,10,89 & 9 points,9,Si,Si_9x
6,2,2024-08-01,2024-08-01_02,9,40.683211111111106,1.0149149427962492,39.3571,42.7061,0.6350777777777777,0.05518065280915444,41.31828888888889,1.0060555555555557,0.3709777777777778,3.3489999999999966,4.1159484570348255,2.494677571110071,64.06020259985654,10,89 & 9 points,9,Si,Si_9x
6,3,2024-08-01,2024-08-01_03,9,40.59878888888889,1.0283220354592801,39.2515,42.651,0.6308666666666667,0.05415784800008211,41.22965555555556,1.004888888888889,0.37402222222222226,3.3995000000000033,4.186701245329982,2.532888452100383,64.35399274366833,10,89 & 9 points,9,Si,Si_9x
6,4,2024-08-01,2024-08-01_04,9,40.43443333333333,1.0294359474974641,39.0793,42.4921,0.6256777777777778,0.05419332933530146,41.06011111111111,1.0052,0.37952222222222226,3.412799999999997,4.220165486017278,2.5459388512038768,64.62501109907478,10,89 & 9 points,9,Si,Si_9x
6,5,2024-08-01,2024-08-01_05,9,40.26674444444445,1.025085820932948,38.9174,42.3149,0.6199444444444445,0.05348165833047604,40.886688888888884,1.0053666666666667,0.3854222222222222,3.397500000000001,4.218741851216072,2.5457380155161213,64.95218209516982,10,89 & 9 points,9,Si,Si_9x
6,6,2024-08-01,2024-08-01_06,9,39.8479,1.0215388942668802,38.5256,41.8945,0.6139,0.05341245173178256,40.461800000000004,1.0038111111111112,0.3899111111111111,3.3689000000000036,4.227198923908165,2.5635953068213886,64.9094315035022,10,89 & 9 points,9,Si,Si_9x
6,7,2024-08-01,2024-08-01_07,9,39.75341111111111,1.0121781493942204,38.4392,41.7921,0.6099111111111112,0.05297686864199424,40.36332222222222,1.0038222222222222,0.3939111111111111,3.352899999999998,4.217122388099748,2.5461416293690475,65.17902426583109,10,89 & 9 points,9,Si,Si_9x
6,8,2024-08-01,2024-08-01_08,9,39.93663333333333,1.01771343707352,38.6326,41.9728,0.6110555555555556,0.05328515532282678,40.547688888888885,1.0037222222222222,0.39266666666666666,3.340200000000003,4.181874786641175,2.5483205571664445,65.35679607237022,10,89 & 9 points,9,Si,Si_9x
6,9,2024-08-01,2024-08-01_09,9,39.84343333333333,0.9711486163301666,38.5928,41.7823,0.6080333333333334,0.053329822801130716,40.45146666666667,1.0032333333333332,0.3952,3.1895000000000024,4.00254161497127,2.437411977540841,65.52837015514498,10,89 & 9 points,9,Si,Si_9x
